JOAO PESSOA (82798);
Data;Hora (UTC);Temp. [Hora] (C);Umi. (%);Pressao (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Nebulosidade (Decimos);Insolacao (h);Temp. Max. [Diaria] (h);Temp. Min. [Diaria] (h);Chuva [Diaria] (mm);
21/01/2010;1200;28,8;75,0;1014,1;2,0;9,0;6,0;;;22,7;7,6;
21/01/2010;1800;;;;;;;;;;;
22/01/2010;0000;27,6;80,0;1013,3;2,3;9,0;5,0;9,30;31,4;;;
22/01/2010;1200;29,2;79,0;1013,1;3,3;9,0;10,0;;;25,3;0,0;
22/01/2010;1800;;;;;;;;;;;
23/01/2010;0000;27,4;83,0;1012,5;3,0;14,0;2,0;2,00;30,6;;;
23/01/2010;1200;29,2;72,0;1012,5;2,6;14,0;10,0;;;25,4;0,0;
23/01/2010;1800;;;;;;;;;;;
24/01/2010;0000;27,4;79,0;1011,6;1,3;9,0;2,0;6,60;31,0;;;
24/01/2010;1200;26,4;92,0;1012,1;1,3;18,0;9,0;;;23,3;23,9;
24/01/2010;1800;;;;;;;;;;;
25/01/2010;0000;27,6;76,0;1011,7;2,0;18,0;6,0;9,60;30,8;;;
25/01/2010;1200;29,2;72,0;1011,9;3,0;18,0;5,0;;;21,9;0,0;
25/01/2010;1800;;;;;;;;;;;
26/01/2010;0000;28,2;78,0;1011,5;3,0;14,0;6,0;9,80;31,6;;;
26/01/2010;1200;29,6;74,0;1012,1;2,3;9,0;8,0;;;26,0;0,0;
26/01/2010;1800;;;;;;;;;;;
27/01/2010;0000;28,4;78,0;1011,0;2,0;5,0;7,0;8,80;31,4;;;
27/01/2010;1200;30,4;71,0;1011,9;2,0;5,0;8,0;;;25,9;0,0;
27/01/2010;1800;;;;;;;;;;;
28/01/2010;0000;28,2;77,0;1011,3;2,3;9,0;8,0;9,30;31,4;;;
28/01/2010;1200;29,8;72,0;1012,1;3,1;9,0;8,0;;;25,5;0,0;
28/01/2010;1800;;;;;;;;;;;
29/01/2010;0000;28,2;74,0;1011,5;3,0;14,0;5,0;9,40;31,5;;;
29/01/2010;1200;30,2;68,0;1012,1;2,0;9,0;8,0;;;25,5;0,0;
29/01/2010;1800;;;;;;;;;;;
30/01/2010;0000;28,0;77,0;1011,8;2,5;14,0;2,0;7,30;31,8;;;
30/01/2010;1200;29,8;71,0;1012,3;4,0;14,0;5,0;;;25,1;4,7;
30/01/2010;1800;;;;;;;;;;;
31/01/2010;0000;27,6;83,0;1012,8;2,5;14,0;6,0;6,50;31,8;;;
31/01/2010;1200;29,6;71,0;1012,5;2,8;14,0;10,0;;;25,7;0,0;
31/01/2010;1800;30,2;66,0;1011,7;3,6;14,0;6,0;;;;;
01/02/2010;0000;28,2;74,0;1013,3;3,0;14,0;6,0;6,00;31,6;;;
01/02/2010;1200;30,0;69,0;1013,7;3,6;14,0;5,0;;;23,5;0,0;
01/02/2010;1800;30,0;68,0;1012,4;4,0;14,0;4,0;;;;;
02/02/2010;0000;26,2;88,0;1015,1;1,0;18,0;6,0;6,90;31,2;;;
02/02/2010;1200;29,8;68,0;1013,9;2,3;9,0;5,0;;;22,1;3,2;
02/02/2010;1800;30,6;68,0;1012,2;2,6;9,0;4,0;;;;;
03/02/2010;0000;28,2;77,0;1014,1;2,1;14,0;5,0;9,50;32,0;;;
03/02/2010;1200;29,8;71,0;1013,3;2,3;14,0;6,0;;;25,3;0,0;
03/02/2010;1800;31,0;68,0;1010,7;3,0;9,0;5,0;;;;;
04/02/2010;0000;28,4;79,0;1012,7;2,0;14,0;4,0;7,80;31,8;;;
04/02/2010;1200;30,4;68,0;1014,5;3,3;14,0;5,0;;;26,3;0,0;
04/02/2010;1800;31,0;63,0;1011,2;3,6;14,0;4,0;;;;;
05/02/2010;0000;28,4;78,0;1012,5;2,6;14,0;5,0;9,20;31,2;;;
05/02/2010;1200;30,8;67,0;1012,8;3,6;9,0;6,0;;;26,1;0,0;
05/02/2010;1800;30,4;65,0;1010,4;4,0;14,0;5,0;;;;;
06/02/2010;0000;28,2;73,0;1012,6;3,0;14,0;6,0;7,60;31,8;;;
06/02/2010;1200;30,0;67,0;1012,9;3,1;14,0;8,0;;;23,1;0,0;
06/02/2010;1800;30,4;66,0;1010,9;3,3;14,0;10,0;;;;;
07/02/2010;0000;28,2;76,0;1012,7;2,1;14,0;4,0;8,30;32,0;;;
07/02/2010;1200;28,4;79,0;1012,4;3,3;14,0;6,0;;;24,1;0,0;
07/02/2010;1800;30,6;68,0;1009,6;3,3;14,0;4,0;;;;;
08/02/2010;0000;28,4;75,0;1011,7;3,0;14,0;4,0;6,40;31,9;;;
08/02/2010;1200;30,2;67,0;1011,9;3,0;9,0;8,0;;;25,9;0,0;
08/02/2010;1800;30,0;74,0;1010,6;3,1;14,0;8,0;;;;;
09/02/2010;0000;28,2;77,0;1011,8;1,6;9,0;6,0;5,90;32,2;;;
09/02/2010;1200;29,6;74,0;1010,9;2,6;14,0;10,0;;;24,3;0,0;
09/02/2010;1800;30,2;70,0;1008,4;3,3;9,0;9,0;;;;;
10/02/2010;0000;28,4;77,0;1010,4;2,5;14,0;4,0;1,70;32,2;;;
10/02/2010;1200;29,4;67,0;1010,3;3,0;14,0;6,0;;;24,7;4,8;
10/02/2010;1800;29,4;66,0;1009,1;2,6;14,0;6,0;;;;;
11/02/2010;0000;26,2;78,0;1009,6;2,6;18,0;7,0;9,20;31,8;;;
11/02/2010;1200;29,4;68,0;1010,5;2,3;9,0;8,0;;;23,1;0,4;
11/02/2010;1800;30,4;67,0;1008,3;3,0;9,0;4,0;;;;;
12/02/2010;0000;28,2;76,0;1010,7;1,6;9,0;4,0;7,30;32,0;;;
12/02/2010;1200;30,2;68,0;1011,8;2,8;9,0;7,0;;;24,1;0,0;
12/02/2010;1800;29,8;73,0;1010,4;2,6;5,0;10,0;;;;;
13/02/2010;0000;26,6;89,0;1012,0;1,0;9,0;6,0;6,00;31,2;;;
13/02/2010;1200;29,0;74,0;1013,2;2,3;9,0;8,0;;;24,1;4,4;
13/02/2010;1800;29,0;69,0;1010,2;3,3;14,0;6,0;;;;;
14/02/2010;0000;28,2;72,0;1012,4;2,6;14,0;5,0;8,00;31,4;;;
14/02/2010;1200;29,2;74,0;1012,7;3,6;14,0;7,0;;;24,3;4,9;
14/02/2010;1800;29,4;70,0;1010,8;3,0;9,0;7,0;;;;;
15/02/2010;0000;28,2;76,0;1012,6;1,3;14,0;5,0;7,90;32,7;;;
15/02/2010;1200;29,6;67,0;1012,7;2,3;14,0;10,0;;;25,1;0,0;
15/02/2010;1800;29,0;79,0;1010,9;2,5;9,0;10,0;;;;;
16/02/2010;0000;29,0;71,0;1012,6;2,6;14,0;6,3;6,40;31,8;;;
16/02/2010;1200;29,2;77,0;1013,0;2,6;9,0;8,0;;;25,5;11,6;
16/02/2010;1800;30,4;71,0;1011,0;2,6;14,0;8,0;;;;;
17/02/2010;0000;28,6;78,0;1012,5;1,6;9,0;8,0;1,00;30,4;;;
17/02/2010;1200;29,0;73,0;1013,5;2,0;9,0;8,0;;;26,3;0,6;
17/02/2010;1800;29,4;71,0;1011,2;2,3;14,0;8,0;;;;;
18/02/2010;0000;28,2;76,0;1013,1;2,5;14,0;8,0;1,40;31,8;;;
18/02/2010;1200;29,2;74,0;1013,5;2,1;14,0;10,0;;;24,9;0,0;
18/02/2010;1800;27,8;88,0;1012,9;1,5;9,0;10,0;;;;;
19/02/2010;0000;27,0;88,0;1015,3;2,0;14,0;5,0;9,40;32,2;;;
19/02/2010;1200;30,6;74,0;1014,1;2,8;14,0;4,0;;;24,7;5,6;
19/02/2010;1800;30,8;70,0;1012,1;4,1;14,0;5,0;;;;;
20/02/2010;0000;27,6;84,0;1014,7;3,0;14,0;6,0;9,70;31,8;;;
20/02/2010;1200;30,2;67,0;1014,1;3,3;14,0;6,0;;;24,7;5,8;
20/02/2010;1800;30,2;64,0;1011,7;3,6;14,0;6,0;;;;;
21/02/2010;0000;27,4;81,0;1012,1;2,1;14,0;5,0;7,20;32,6;;;
21/02/2010;1200;30,0;70,0;1012,4;3,1;14,0;7,0;;;25,5;1,2;
21/02/2010;1800;31,6;63,0;1009,8;3,3;14,0;5,0;;;;;
22/02/2010;0000;28,4;77,0;1011,9;2,5;14,0;8,0;0,70;29,2;;;
22/02/2010;1200;26,8;90,0;1012,9;1,3;23,0;8,0;;;22,3;16,2;
22/02/2010;1800;28,6;80,0;1009,8;2,3;14,0;8,0;;;;;
23/02/2010;0000;27,8;83,0;1012,5;1,0;14,0;6,0;9,40;31,8;;;
23/02/2010;1200;30,2;73,0;1012,3;2,3;14,0;6,0;;;21,6;18,2;
23/02/2010;1800;30,4;71,0;1011,0;2,0;9,0;8,0;;;;;
24/02/2010;0000;28,4;81,0;1012,9;2,0;9,0;5,0;9,70;31,6;;;
24/02/2010;1200;30,4;73,0;1012,8;1,6;9,0;6,0;;;25,9;0,0;
24/02/2010;1800;30,4;73,0;1010,2;3,0;9,0;6,0;;;;;
25/02/2010;0000;28,6;80,0;1012,3;2,0;5,0;8,0;6,10;31,8;;;
25/02/2010;1200;29,8;72,0;1012,4;2,0;9,0;8,0;;;26,5;0,0;
25/02/2010;1800;30,0;72,0;1010,2;2,6;14,0;6,0;;;;;
26/02/2010;0000;28,4;78,0;1011,6;2,8;14,0;6,0;7,70;32,0;;;
26/02/2010;1200;30,0;70,0;1011,5;2,3;9,0;8,0;;;26,3;0,0;
26/02/2010;1800;30,4;69,0;1009,9;2,5;9,0;9,0;;;;;
27/02/2010;0000;28,6;76,0;1011,8;2,0;9,0;5,0;10,00;31,8;;;
27/02/2010;1200;30,4;69,0;1012,8;2,5;5,0;5,0;;;26,3;0,0;
27/02/2010;1800;30,6;70,0;1010,6;2,5;5,0;4,0;;;;;
28/02/2010;0000;28,6;78,0;1012,4;1,0;9,0;5,0;9,50;32,0;;;
28/02/2010;1200;30,2;66,0;1013,5;2,6;5,0;3,0;;;24,3;0,0;
28/02/2010;1800;30,4;67,0;1011,5;2,6;5,0;4,0;;;;;
01/03/2010;0000;28,6;76,0;1013,1;1,6;5,0;4,0;9,80;31,8;;;
01/03/2010;1200;30,6;67,0;1004,8;2,0;9,0;6,0;;;26,3;0,0;
01/03/2010;1800;30,6;70,0;1011,3;2,0;9,0;4,0;;;;;
02/03/2010;0000;28,2;74,0;1012,7;1,6;9,0;4,0;10,30;31,8;;;
02/03/2010;1200;30,2;66,0;1004,7;2,5;5,0;5,0;;;23,9;0,0;
02/03/2010;1800;30,6;67,0;1011,5;2,8;5,0;3,0;;;;;
03/03/2010;0000;28,2;74,0;1013,1;3,3;5,0;3,0;9,30;32,0;;;
03/03/2010;1200;30,0;70,0;1013,1;1,8;5,0;7,0;;;22,6;0,0;
03/03/2010;1800;30,6;67,0;1011,2;2,5;9,0;3,0;;;;;
04/03/2010;0000;28,6;76,0;1012,2;1,6;9,0;5,0;9,00;32,6;;;
04/03/2010;1200;30,0;72,0;1013,1;2,6;5,0;5,0;;;23,7;0,0;
04/03/2010;1800;31,4;65,0;1010,3;2,6;5,0;3,0;;;;;
05/03/2010;0000;28,6;80,0;1011,7;2,3;5,0;4,0;9,80;32,4;;;
05/03/2010;1200;30,6;68,0;1012,3;2,1;5,0;6,0;;;23,7;0,0;
05/03/2010;1800;31,0;65,0;1010,3;2,0;5,0;5,0;;;;;
06/03/2010;0000;28,4;78,0;1010,5;1,8;9,0;4,0;10,00;32,4;;;
06/03/2010;1200;30,4;67,0;1010,8;2,3;5,0;5,0;;;23,9;0,0;
06/03/2010;1800;30,8;69,0;1008,5;2,1;5,0;6,0;;;;;
07/03/2010;0000;28,6;79,0;1010,8;2,0;5,0;4,0;9,50;33,0;;;
07/03/2010;1200;31,2;66,0;1011,9;2,1;9,0;4,0;;;24,6;0,0;
07/03/2010;1800;31,0;64,0;1009,9;2,0;5,0;3,0;;;;;
08/03/2010;0000;28,8;75,0;1012,8;2,0;5,0;2,0;10,20;32,8;;;
08/03/2010;1200;30,6;71,0;1014,4;2,6;5,0;5,0;;;25,1;0,0;
08/03/2010;1800;31,4;67,0;1011,1;3,3;5,0;4,0;;;;;
09/03/2010;0000;28,8;75,0;1013,1;2,6;5,0;5,0;9,80;32,7;;;
09/03/2010;1200;30,8;66,0;1013,3;2,0;9,0;6,0;;;21,7;0,0;
09/03/2010;1800;30,6;66,0;1010,2;2,3;9,0;3,0;;;;;
10/03/2010;0000;28,2;70,0;1012,1;2,0;9,0;3,0;9,50;32,2;;;
10/03/2010;1200;31,0;58,0;1013,1;2,1;9,0;3,0;;;22,4;0,0;
10/03/2010;1800;30,2;67,0;1008,6;3,0;9,0;4,0;;;;;
11/03/2010;0000;28,6;74,0;1011,0;2,5;9,0;3,0;9,70;31,8;;;
11/03/2010;1200;30,8;66,0;1012,2;2,0;9,0;4,0;;;23,0;0,0;
11/03/2010;1800;30,6;68,0;1008,2;1,6;5,0;4,0;;;;;
12/03/2010;0000;28,4;78,0;1009,8;2,5;14,0;3,0;9,90;32,6;;;
12/03/2010;1200;31,0;61,0;1012,8;3,0;9,0;6,0;;;26,1;0,0;
12/03/2010;1800;31,0;62,0;1010,1;3,6;5,0;3,0;;;;;
13/03/2010;0000;28,8;72,0;1011,8;2,6;5,0;5,0;10,00;32,8;;;
13/03/2010;1200;30,2;68,0;1013,9;2,3;9,0;5,0;;;26,3;0,0;
13/03/2010;1800;31,2;61,0;1012,2;2,3;9,0;4,0;;;;;
14/03/2010;0000;28,8;70,0;1014,0;2,0;9,0;5,0;10,30;32,8;;;
14/03/2010;1200;30,8;66,0;1014,9;2,8;9,0;7,0;;;26,5;0,0;
14/03/2010;1800;31,6;66,0;1012,5;2,5;9,0;6,0;;;;;
15/03/2010;0000;28,2;76,0;1014,4;2,3;14,0;8,0;7,90;32,7;;;
15/03/2010;1200;30,4;63,0;1013,3;2,5;14,0;6,0;;;25,1;0,8;
15/03/2010;1800;31,6;67,0;1011,2;2,8;9,0;6,0;;;;;
16/03/2010;0000;29,0;70,0;1012,5;2,6;14,0;6,0;9,60;32,6;;;
16/03/2010;1200;30,8;64,0;1013,4;3,3;14,0;6,0;;;27,1;0,0;
16/03/2010;1800;31,4;60,0;1011,0;4,3;9,0;4,0;;;;;
17/03/2010;0000;28,8;70,0;1012,5;2,3;14,0;4,0;4,20;32,8;;;
17/03/2010;1200;29,4;70,0;1012,9;2,3;14,0;6,0;;;23,9;0,0;
17/03/2010;1800;28,6;82,0;1011,4;2,6;9,0;7,0;;;;;
18/03/2010;0000;28,2;77,0;1012,7;1,5;9,0;7,0;9,50;32,4;;;
18/03/2010;1200;30,4;63,0;1013,4;2,0;14,0;9,0;;;24,1;1,2;
18/03/2010;1800;31,0;67,0;1011,8;2,6;14,0;5,0;;;;;
19/03/2010;0000;28,8;73,0;1013,5;1,6;9,0;4,0;5,80;32,4;;;
19/03/2010;1200;30,8;71,0;1014,1;1,6;9,0;4,0;;;23,9;0,0;
19/03/2010;1800;29,4;73,0;1012,5;2,1;9,0;9,0;;;;;
20/03/2010;0000;29,0;76,0;1013,2;2,0;9,0;9,0;5,50;32,4;;;
20/03/2010;1200;31,2;69,0;1013,2;2,3;9,0;4,0;;;24,9;0,0;
20/03/2010;1800;30,0;74,0;1010,3;2,6;9,0;6,0;;;;;
21/03/2010;0000;29,2;77,0;1012,0;1,6;9,0;6,0;2,10;32,6;;;
21/03/2010;1200;30,0;70,0;1012,7;2,0;9,0;8,0;;;22,6;0,2;
21/03/2010;1800;30,2;71,0;1010,0;2,3;9,0;8,0;;;;;
22/03/2010;0000;29,0;78,0;1013,0;2,0;9,0;4,0;5,60;33,0;;;
22/03/2010;1200;30,2;71,0;1013,0;2,8;9,0;10,0;;;27,1;0,0;
22/03/2010;1800;31,6;68,0;1010,8;2,5;14,0;9,0;;;;;
23/03/2010;0000;29,0;74,0;1012,5;2,3;14,0;5,0;6,40;33,6;;;
23/03/2010;1200;31,6;63,0;1013,0;4,0;14,0;4,0;;;25,1;0,0;
23/03/2010;1800;29,2;79,0;1010,7;2,6;14,0;6,0;;;;;
24/03/2010;0000;28,0;77,0;1011,6;2,0;14,0;6,0;8,50;32,4;;;
24/03/2010;1200;29,0;78,0;1011,8;2,1;14,0;8,0;;;23,7;12,9;
24/03/2010;1800;31,0;64,0;1009,6;4,5;14,0;5,0;;;;;
25/03/2010;0000;28,0;76,0;1010,4;2,5;14,0;9,0;5,50;32,2;;;
25/03/2010;1200;29,2;79,0;1011,3;1,6;14,0;5,0;;;23,6;0,9;
25/03/2010;1800;29,2;71,0;1010,8;3,3;14,0;6,0;;;;;
26/03/2010;0000;24,8;86,0;1012,5;2,0;14,0;9,0;4,90;32,6;;;
26/03/2010;1200;28,2;81,0;1012,8;1,1;18,0;10,0;;;24,9;1,0;
26/03/2010;1800;30,0;73,0;1010,0;2,3;14,0;10,0;;;;;
27/03/2010;0000;28,2;78,0;1011,9;1,8;14,0;8,0;4,90;32,2;;;
27/03/2010;1200;30,0;78,0;1012,3;4,1;14,0;6,0;;;23,5;0,1;
27/03/2010;1800;30,0;69,0;1009,8;2,8;14,0;9,0;;;;;
28/03/2010;0000;28,4;78,0;1012,4;3,3;14,0;5,0;4,80;32,0;;;
28/03/2010;1200;30,4;69,0;1012,4;2,3;9,0;5,0;;;23,7;0,0;
28/03/2010;1800;28,4;85,0;1010,0;1,6;14,0;9,0;;;;;
29/03/2010;0000;26,6;97,0;1012,5;0,8;14,0;9,0;7,20;32,0;;;
29/03/2010;1200;30,0;81,0;1012,7;2,0;9,0;5,0;;;27,7;11,8;
29/03/2010;1800;30,2;73,0;1010,6;2,3;9,0;7,0;;;;;
30/03/2010;0000;28,4;78,0;1012,8;2,0;14,0;4,0;8,80;32,2;;;
30/03/2010;1200;30,2;75,0;1012,9;2,3;9,0;6,0;;;26,3;2,0;
30/03/2010;1800;31,2;71,0;1009,7;3,3;14,0;3,0;;;;;
31/03/2010;0000;28,8;79,0;1012,1;2,3;14,0;4,0;10,20;32,6;;;
31/03/2010;1200;31,6;67,0;1011,9;2,1;14,0;3,0;;;29,1;0,0;
31/03/2010;1800;31,0;66,0;1008,5;2,6;14,0;3,0;;;;;
01/04/2010;0000;29,0;76,0;1009,8;1,8;14,0;4,0;7,70;32,4;;;
01/04/2010;1200;29,0;79,0;1011,7;3,0;14,0;6,0;;;27,9;1,0;
01/04/2010;1800;30,4;72,0;1008,0;3,3;14,0;3,0;;;;;
02/04/2010;0000;29,2;79,0;1010,4;2,0;14,0;6,0;8,50;33,0;;;
02/04/2010;1200;31,2;80,0;1010,9;2,6;9,0;5,0;;;28,3;0,0;
02/04/2010;1800;31,0;68,0;1009,6;2,3;9,0;5,0;;;;;
03/04/2010;0000;29,6;80,0;1011,7;2,6;14,0;5,0;9,50;33,4;;;
03/04/2010;1200;30,6;70,0;1011,8;2,0;14,0;7,0;;;26,2;0,0;
03/04/2010;1800;31,0;70,0;1009,7;2,6;14,0;6,0;;;;;
04/04/2010;0000;26,2;91,0;1011,8;3,0;18,0;7,0;9,10;32,7;;;
04/04/2010;1200;30,6;67,0;1013,0;3,3;14,0;6,0;;;23,1;4,8;
04/04/2010;1800;31,2;63,0;1010,4;3,3;14,0;3,0;;;;;
05/04/2010;0000;28,6;76,0;1011,1;2,5;14,0;2,0;8,10;32,4;;;
05/04/2010;1200;30,8;70,0;1012,5;3,3;14,0;5,0;;;26,7;0,1;
05/04/2010;1800;31,0;68,0;1010,0;2,3;9,0;4,0;;;;;
06/04/2010;0000;27,8;92,0;1010,9;1,3;14,0;4,0;4,50;32,0;;;
06/04/2010;1200;30,0;76,0;1011,3;3,3;14,0;5,0;;;26,3;6,1;
06/04/2010;1800;27,8;88,0;1008,5;1,6;9,0;5,0;;;;;
07/04/2010;0000;27,8;88,0;1009,4;1,2;9,0;4,0;7,40;32,4;;;
07/04/2010;1200;29,2;81,0;1009,9;1,3;9,0;6,0;;;26,1;20,8;
07/04/2010;1800;31,0;69,0;1007,0;1,5;5,0;8,0;;;;;
08/04/2010;0000;29,0;80,0;1010,4;1,3;5,0;2,0;6,00;32,3;;;
08/04/2010;1200;30,2;73,0;1010,5;1,6;35,0;8,0;;;22,8;0,0;
08/04/2010;1800;31,2;70,0;1008,1;2,0;9,0;10,0;;;;;
09/04/2010;0000;29,2;83,0;1011,2;1,3;9,0;4,0;0,00;29,8;;;
09/04/2010;1200;25,8;94,0;1013,5;1,6;18,0;8,0;;;24,1;15,4;
09/04/2010;1800;27,6;83,0;1011,4;3,3;14,0;8,0;;;;;
10/04/2010;0000;26,0;95,0;1013,5;1,0;18,0;8,0;0,50;28,2;;;
10/04/2010;1200;25,0;94,0;1012,9;1,6;9,0;8,0;;;23,1;25,6;
10/04/2010;1800;27,2;86,0;1010,9;1,8;9,0;4,0;;;;;
11/04/2010;0000;25,8;94,0;1012,9;1,6;14,0;8,0;7,30;31,0;;;
11/04/2010;1200;29,6;71,0;1012,4;1,3;9,0;8,0;;;27,3;0,0;
11/04/2010;1800;29,4;68,0;1008,6;3,1;14,0;6,0;;;;;
12/04/2010;0000;27,8;85,0;1011,1;3,3;14,0;5,0;9,60;31,8;;;
12/04/2010;1200;29,4;73,0;1011,4;2,0;14,0;2,0;;;27,1;0,0;
12/04/2010;1800;31,2;64,0;1008,6;2,5;14,0;2,0;;;;;
13/04/2010;0000;28,8;79,0;1011,2;1,6;14,0;8,0;9,90;32,2;;;
13/04/2010;1200;31,4;66,0;1013,1;3,0;9,0;4,0;;;26,1;0,0;
13/04/2010;1800;31,2;63,0;1010,3;3,3;14,0;4,0;;;;;
14/04/2010;0000;28,6;78,0;1012,8;1,6;14,0;3,0;8,00;32,2;;;
14/04/2010;1200;30,2;72,0;1012,5;3,0;14,0;6,0;;;27,1;5,0;
14/04/2010;1800;30,8;84,0;1009,2;1,6;14,0;4,0;;;;;
15/04/2010;0000;28,4;78,0;1012,4;2,0;14,0;4,0;7,80;32,0;;;
15/04/2010;1200;29,6;79,0;1013,0;2,1;9,0;4,0;;;26,9;4,0;
15/04/2010;1800;31,2;64,0;1009,2;2,5;14,0;6,0;;;;;
16/04/2010;0000;29,0;73,0;1011,8;2,0;9,0;3,0;10,50;32,5;;;
16/04/2010;1200;30,8;67,0;1012,1;3,3;14,0;4,0;;;27,8;0,0;
16/04/2010;1800;31,6;64,0;1008,7;3,6;14,0;3,0;;;;;
17/04/2010;0000;28,6;82,0;1012,2;3,3;14,0;2,0;0,80;30,4;;;
17/04/2010;1200;27,6;91,0;1012,9;1,0;14,0;8,0;;;24,1;2,4;
17/04/2010;1800;27,4;87,0;1011,7;2,3;14,0;8,0;;;;;
18/04/2010;0000;25,6;88,0;1014,3;0,5;14,0;9,0;0,00;29,3;;;
18/04/2010;1200;27,2;88,0;1013,2;1,6;14,0;5,0;;;23,9;27,9;
18/04/2010;1800;26,0;93,0;1012,3;2,0;9,0;8,0;;;;;
19/04/2010;0000;28,0;91,0;1014,4;1,6;18,0;8,0;9,40;31,6;;;
